total_return_pct,sharpe,profit_factor,win_rate,max_dd_pct,trade_count,final_equity,sl_range_mult,tp_range_mult,trail_pct,breakeven_R,partial_tp,min_signals,C_enter,rolling_wr_filter
11.079,0.0118,1.026,56.91,31.852,376,55.5397,0.3,0.8,0.2,1.0,True,5,0.5,False
-6.501,-0.0112,0.976,55.93,29.416,236,46.7494,0.3,0.8,0.2,1.0,True,5,0.55,True
-13.7,-0.0165,0.965,55.62,44.882,347,43.1499,0.3,0.8,0.2,1.0,True,5,0.55,False
-6.501,-0.0112,0.976,55.93,29.416,236,46.7494,0.3,0.8,0.2,1.0,True,5,0.6,True
-13.7,-0.0165,0.965,55.62,44.882,347,43.1499,0.3,0.8,0.2,1.0,True,5,0.6,False
-2.91,-0.0164,0.963,36.0,23.418,50,48.545,0.3,0.8,0.2,1.0,False,3,0.5,True
230.389,0.1191,1.322,41.57,23.418,356,165.1946,0.3,0.8,0.2,1.0,False,3,0.5,False
3.731,0.02,1.047,37.25,21.46,51,51.8657,0.3,0.8,0.2,1.0,False,3,0.55,True
347.423,0.1505,1.429,42.67,21.46,382,223.7117,0.3,0.8,0.2,1.0,False,3,0.55,False
-14.874,-0.1039,0.793,34.09,22.419,44,42.5628,0.3,0.8,0.2,1.0,False,3,0.6,True
278.401,0.1386,1.388,41.55,22.516,361,189.2003,0.3,0.8,0.2,1.0,False,3,0.6,False
76.619,0.1622,1.453,45.0,18.183,100,88.3093,0.3,0.8,0.2,1.0,False,4,0.5,True
471.173,0.1389,1.384,42.21,18.684,462,285.5866,0.3,0.8,0.2,1.0,False,4,0.5,False
68.065,0.1558,1.43,44.09,15.512,93,84.0324,0.3,0.8,0.2,1.0,False,4,0.55,True
515.921,0.1502,1.426,42.16,18.422,472,307.9604,0.3,0.8,0.2,1.0,False,4,0.55,False
68.065,0.1558,1.43,44.09,15.512,93,84.0324,0.3,0.8,0.2,1.0,False,4,0.6,True
422.718,0.1305,1.359,41.34,18.422,462,261.3588,0.3,0.8,0.2,1.0,False,4,0.6,False
-15.484,-0.1689,0.696,36.67,25.313,30,42.2579,0.3,0.8,0.2,1.0,False,5,0.5,True
203.254,0.1001,1.261,39.56,32.358,364,151.6268,0.3,0.8,0.2,1.0,False,5,0.5,False
-16.571,-0.1853,0.673,34.48,26.273,29,41.7146,0.3,0.8,0.2,1.0,False,5,0.55,True
182.484,0.0905,1.235,38.86,28.407,368,141.242,0.3,0.8,0.2,1.0,False,5,0.55,False
-16.571,-0.1853,0.673,34.48,26.273,29,41.7146,0.3,0.8,0.2,1.0,False,5,0.6,True
182.484,0.0905,1.235,38.86,28.407,368,141.242,0.3,0.8,0.2,1.0,False,5,0.6,False
-9.197,-0.0136,0.971,57.1,44.294,324,45.4015,0.3,0.8,0.2,1.5,True,3,0.5,True
-9.197,-0.0136,0.971,57.1,44.294,324,45.4015,0.3,0.8,0.2,1.5,True,3,0.5,False
4.733,0.0064,1.014,57.77,44.396,341,52.3665,0.3,0.8,0.2,1.5,True,3,0.55,True
4.733,0.0064,1.014,57.77,44.396,341,52.3665,0.3,0.8,0.2,1.5,True,3,0.55,False
-3.739,-0.0051,0.989,56.8,37.665,338,48.1305,0.3,0.8,0.2,1.5,True,3,0.6,True
-3.739,-0.0051,0.989,56.8,37.665,338,48.1305,0.3,0.8,0.2,1.5,True,3,0.6,False
119.079,0.0794,1.189,60.93,24.192,494,109.5394,0.3,0.8,0.2,1.5,True,4,0.5,True
119.079,0.0794,1.189,60.93,24.192,494,109.5394,0.3,0.8,0.2,1.5,True,4,0.5,False
87.865,0.07,1.165,60.53,27.686,451,93.9323,0.3,0.8,0.2,1.5,True,4,0.55,True
87.865,0.07,1.165,60.53,27.686,451,93.9323,0.3,0.8,0.2,1.5,True,4,0.55,False
86.512,0.0691,1.162,60.36,26.474,449,93.256,0.3,0.8,0.2,1.5,True,4,0.6,True
86.512,0.0691,1.162,60.36,26.474,449,93.256,0.3,0.8,0.2,1.5,True,4,0.6,False
11.079,0.0118,1.026,56.91,31.852,376,55.5397,0.3,0.8,0.2,1.5,True,5,0.5,True
11.079,0.0118,1.026,56.91,31.852,376,55.5397,0.3,0.8,0.2,1.5,True,5,0.5,False
-6.501,-0.0112,0.976,55.93,29.416,236,46.7494,0.3,0.8,0.2,1.5,True,5,0.55,True
-13.7,-0.0165,0.965,55.62,44.882,347,43.1499,0.3,0.8,0.2,1.5,True,5,0.55,False
-6.501,-0.0112,0.976,55.93,29.416,236,46.7494,0.3,0.8,0.2,1.5,True,5,0.6,True
-13.7,-0.0165,0.965,55.62,44.882,347,43.1499,0.3,0.8,0.2,1.5,True,5,0.6,False
-2.91,-0.0164,0.963,36.0,23.418,50,48.545,0.3,0.8,0.2,1.5,False,3,0.5,True
230.389,0.1191,1.322,41.57,23.418,356,165.1946,0.3,0.8,0.2,1.5,False,3,0.5,False
3.731,0.02,1.047,37.25,21.46,51,51.8657,0.3,0.8,0.2,1.5,False,3,0.55,True
347.423,0.1505,1.429,42.67,21.46,382,223.7117,0.3,0.8,0.2,1.5,False,3,0.55,False
-14.874,-0.1039,0.793,34.09,22.419,44,42.5628,0.3,0.8,0.2,1.5,False,3,0.6,True
278.401,0.1386,1.388,41.55,22.516,361,189.2003,0.3,0.8,0.2,1.5,False,3,0.6,False
76.619,0.1622,1.453,45.0,18.183,100,88.3093,0.3,0.8,0.2,1.5,False,4,0.5,True
471.173,0.1389,1.384,42.21,18.684,462,285.5866,0.3,0.8,0.2,1.5,False,4,0.5,False
68.065,0.1558,1.43,44.09,15.512,93,84.0324,0.3,0.8,0.2,1.5,False,4,0.55,True
515.921,0.1502,1.426,42.16,18.422,472,307.9604,0.3,0.8,0.2,1.5,False,4,0.55,False
68.065,0.1558,1.43,44.09,15.512,93,84.0324,0.3,0.8,0.2,1.5,False,4,0.6,True
422.718,0.1305,1.359,41.34,18.422,462,261.3588,0.3,0.8,0.2,1.5,False,4,0.6,False
-15.484,-0.1689,0.696,36.67,25.313,30,42.2579,0.3,0.8,0.2,1.5,False,5,0.5,True
203.254,0.1001,1.261,39.56,32.358,364,151.6268,0.3,0.8,0.2,1.5,False,5,0.5,False
-16.571,-0.1853,0.673,34.48,26.273,29,41.7146,0.3,0.8,0.2,1.5,False,5,0.55,True
182.484,0.0905,1.235,38.86,28.407,368,141.242,0.3,0.8,0.2,1.5,False,5,0.55,False
-16.571,-0.1853,0.673,34.48,26.273,29,41.7146,0.3,0.8,0.2,1.5,False,5,0.6,True
182.484,0.0905,1.235,38.86,28.407,368,141.242,0.3,0.8,0.2,1.5,False,5,0.6,False
-9.197,-0.0136,0.971,57.1,44.294,324,45.4015,0.3,0.8,0.2,999.0,True,3,0.5,True
-9.197,-0.0136,0.971,57.1,44.294,324,45.4015,0.3,0.8,0.2,999.0,True,3,0.5,False
4.733,0.0064,1.014,57.77,44.396,341,52.3665,0.3,0.8,0.2,999.0,True,3,0.55,True
4.733,0.0064,1.014,57.77,44.396,341,52.3665,0.3,0.8,0.2,999.0,True,3,0.55,False
-3.739,-0.0051,0.989,56.8,37.665,338,48.1305,0.3,0.8,0.2,999.0,True,3,0.6,True
-3.739,-0.0051,0.989,56.8,37.665,338,48.1305,0.3,0.8,0.2,999.0,True,3,0.6,False
119.079,0.0794,1.189,60.93,24.192,494,109.5394,0.3,0.8,0.2,999.0,True,4,0.5,True
119.079,0.0794,1.189,60.93,24.192,494,109.5394,0.3,0.8,0.2,999.0,True,4,0.5,False
87.865,0.07,1.165,60.53,27.686,451,93.9323,0.3,0.8,0.2,999.0,True,4,0.55,True
87.865,0.07,1.165,60.53,27.686,451,93.9323,0.3,0.8,0.2,999.0,True,4,0.55,False
86.512,0.0691,1.162,60.36,26.474,449,93.256,0.3,0.8,0.2,999.0,True,4,0.6,True
86.512,0.0691,1.162,60.36,26.474,449,93.256,0.3,0.8,0.2,999.0,True,4,0.6,False
11.079,0.0118,1.026,56.91,31.852,376,55.5397,0.3,0.8,0.2,999.0,True,5,0.5,True
11.079,0.0118,1.026,56.91,31.852,376,55.5397,0.3,0.8,0.2,999.0,True,5,0.5,False
-6.501,-0.0112,0.976,55.93,29.416,236,46.7494,0.3,0.8,0.2,999.0,True,5,0.55,True
-13.7,-0.0165,0.965,55.62,44.882,347,43.1499,0.3,0.8,0.2,999.0,True,5,0.55,False
-6.501,-0.0112,0.976,55.93,29.416,236,46.7494,0.3,0.8,0.2,999.0,True,5,0.6,True
-13.7,-0.0165,0.965,55.62,44.882,347,43.1499,0.3,0.8,0.2,999.0,True,5,0.6,False
-2.91,-0.0164,0.963,36.0,23.418,50,48.545,0.3,0.8,0.2,999.0,False,3,0.5,True
230.389,0.1191,1.322,41.57,23.418,356,165.1946,0.3,0.8,0.2,999.0,False,3,0.5,False
3.731,0.02,1.047,37.25,21.46,51,51.8657,0.3,0.8,0.2,999.0,False,3,0.55,True
347.423,0.1505,1.429,42.67,21.46,382,223.7117,0.3,0.8,0.2,999.0,False,3,0.55,False
-14.874,-0.1039,0.793,34.09,22.419,44,42.5628,0.3,0.8,0.2,999.0,False,3,0.6,True
278.401,0.1386,1.388,41.55,22.516,361,189.2003,0.3,0.8,0.2,999.0,False,3,0.6,False
76.619,0.1622,1.453,45.0,18.183,100,88.3093,0.3,0.8,0.2,999.0,False,4,0.5,True
471.173,0.1389,1.384,42.21,18.684,462,285.5866,0.3,0.8,0.2,999.0,False,4,0.5,False
68.065,0.1558,1.43,44.09,15.512,93,84.0324,0.3,0.8,0.2,999.0,False,4,0.55,True
515.921,0.1502,1.426,42.16,18.422,472,307.9604,0.3,0.8,0.2,999.0,False,4,0.55,False
68.065,0.1558,1.43,44.09,15.512,93,84.0324,0.3,0.8,0.2,999.0,False,4,0.6,True
422.718,0.1305,1.359,41.34,18.422,462,261.3588,0.3,0.8,0.2,999.0,False,4,0.6,False
-15.484,-0.1689,0.696,36.67,25.313,30,42.2579,0.3,0.8,0.2,999.0,False,5,0.5,True
203.254,0.1001,1.261,39.56,32.358,364,151.6268,0.3,0.8,0.2,999.0,False,5,0.5,False
-16.571,-0.1853,0.673,34.48,26.273,29,41.7146,0.3,0.8,0.2,999.0,False,5,0.55,True
182.484,0.0905,1.235,38.86,28.407,368,141.242,0.3,0.8,0.2,999.0,False,5,0.55,False
